saledate,ma,type,bedrooms
31/03/2011,329856,unit,1
30/06/2011,333049,unit,1
30/09/2011,337144,unit,1
31/12/2011,337400,unit,1
31/03/2012,339125,unit,1
30/06/2012,341807,unit,1
30/09/2012,344793,unit,1
31/12/2012,347754,unit,1
31/03/2013,348491,unit,1
30/06/2013,348512,unit,1
30/09/2013,347962,unit,1
31/12/2013,345573,unit,1
31/03/2014,343298,unit,1
30/06/2014,341289,unit,1
30/09/2014,338293,unit,1
31/12/2014,336520,unit,1
31/03/2015,334488,unit,1
30/06/2015,332703,unit,1
30/09/2015,330278,unit,1
31/12/2015,328300,unit,1
31/03/2016,326476,unit,1
30/06/2016,324725,unit,1
30/09/2016,325127,unit,1
31/12/2016,325521,unit,1
31/03/2017,327870,unit,1
30/06/2017,330319,unit,1
30/09/2017,332481,unit,1
31/12/2017,334804,unit,1
31/03/2018,336637,unit,1
30/06/2018,338105,unit,1
30/09/2018,339220,unit,1
31/12/2018,339350,unit,1
31/03/2019,337838,unit,1
30/06/2019,336551,unit,1
30/09/2019,335449,unit,1
30/06/2007,368817,unit,2
30/09/2007,368817,unit,2
31/12/2007,368817,unit,2
31/03/2008,368817,unit,2
30/06/2008,373482,unit,2
30/09/2008,377481,unit,2
31/12/2008,382010,unit,2
31/03/2009,380810,unit,2
30/06/2009,385791,unit,2
30/09/2009,391161,unit,2
31/12/2009,396448,unit,2
31/03/2010,402898,unit,2
30/06/2010,408608,unit,2
30/09/2010,412509,unit,2
31/12/2010,415991,unit,2
31/03/2011,417970,unit,2
30/06/2011,419777,unit,2
30/09/2011,421158,unit,2
31/12/2011,423144,unit,2
31/03/2012,424673,unit,2
30/06/2012,424249,unit,2
30/09/2012,425453,unit,2
31/12/2012,425922,unit,2
31/03/2013,425751,unit,2
30/06/2013,426621,unit,2
30/09/2013,428398,unit,2
31/12/2013,428365,unit,2
31/03/2014,429283,unit,2
30/06/2014,429361,unit,2
30/09/2014,428911,unit,2
31/12/2014,429832,unit,2
31/03/2015,431567,unit,2
30/06/2015,432730,unit,2
30/09/2015,432791,unit,2
31/12/2015,432801,unit,2
31/03/2016,431418,unit,2
30/06/2016,430880,unit,2
30/09/2016,430654,unit,2
31/12/2016,430308,unit,2
31/03/2017,429897,unit,2
30/06/2017,429059,unit,2
30/09/2017,428878,unit,2
31/12/2017,428532,unit,2
31/03/2018,427856,unit,2
30/06/2018,427623,unit,2
30/09/2018,426970,unit,2
31/12/2018,426936,unit,2
31/03/2019,426669,unit,2
30/06/2019,425659,unit,2
30/09/2019,424412,unit,2
30/09/2007,518911,unit,3
31/12/2007,518911,unit,3
31/03/2008,518911,unit,3
30/06/2008,518911,unit,3
30/09/2008,518911,unit,3
31/12/2008,518911,unit,3
31/03/2009,518911,unit,3
30/06/2009,518911,unit,3
30/09/2009,523285,unit,3
31/12/2009,522862,unit,3
31/03/2010,524008,unit,3
30/06/2010,535063,unit,3
30/09/2010,538694,unit,3
31/12/2010,555117,unit,3
31/03/2011,550851,unit,3
30/06/2011,547981,unit,3
30/09/2011,539828,unit,3
31/12/2011,530987,unit,3
31/03/2012,540344,unit,3
30/06/2012,537592,unit,3
30/09/2012,548326,unit,3
31/12/2012,555644,unit,3
31/03/2013,566706,unit,3
30/06/2013,580696,unit,3
30/09/2013,581428,unit,3
31/12/2013,586470,unit,3
31/03/2014,583883,unit,3
30/06/2014,583370,unit,3
30/09/2014,598512,unit,3
31/12/2014,598812,unit,3
31/03/2015,599507,unit,3
30/06/2015,602877,unit,3
30/09/2015,603343,unit,3
31/12/2015,612295,unit,3
31/03/2016,617363,unit,3
30/06/2016,622045,unit,3
30/09/2016,616198,unit,3
31/12/2016,610618,unit,3
31/03/2017,606935,unit,3
30/06/2017,605273,unit,3
30/09/2017,606850,unit,3
31/12/2017,604413,unit,3
31/03/2018,604293,unit,3
30/06/2018,603434,unit,3
30/09/2018,603281,unit,3
31/12/2018,601167,unit,3
31/03/2019,605637,unit,3
30/06/2019,599339,unit,3
30/09/2019,597884,unit,3
